from,to
primforest,primf
secdforest,secdf
forestry,secdf
other,primn
other,secdn
urban,urban
past,pastr
past,range
cassav_sp,c3ann
cottn_pro,c3ann
foddr,c3ann
others,c3ann
potato,c3ann
rapeseed,c3ann
rice_pro,c3ann
sugr_beet,c3ann
sunflower,c3ann
tece,c3ann
foddr,c3nfx
groundnut,c3nfx
others,c3nfx
puls_pro,c3nfx
soybean,c3nfx
betr,c3per
cassav_sp,c3per
oilpalm,c3per
others,c3per
rapeseed,c3per
foddr,c4ann
maiz,c4ann
others,c4ann
trce,c4ann
begr,c4per
sugr_cane,c4per
