reference;data
primf;primforest
secdf;secdforest
forestry;forestry
primn;other
secdn;other
pastr;past
range;past
urban;urban
c3per_irrigated_biofuel_1st_gen;biofuel_1st_gen
c3per_rainfed_biofuel_1st_gen;biofuel_1st_gen
c4per_irrigated_biofuel_1st_gen;biofuel_1st_gen
c4per_rainfed_biofuel_1st_gen;biofuel_1st_gen
c3ann_irrigated_biofuel_1st_gen;biofuel_1st_gen
c3ann_rainfed_biofuel_1st_gen;biofuel_1st_gen
c4ann_irrigated_biofuel_1st_gen;biofuel_1st_gen
c4ann_rainfed_biofuel_1st_gen;biofuel_1st_gen
c3nfx_irrigated_biofuel_1st_gen;biofuel_1st_gen
c3nfx_rainfed_biofuel_1st_gen;biofuel_1st_gen
begr, irrigated;begr_irrigated
begr, rainfed;begr_rainfed
betr, irrigated;betr_irrigated
betr, rainfed;betr_rainfed
alfalfa, irrigated;foddr_irrigated
alfalfa, rainfed;foddr_rainfed
Almonds, with shell, irrigated;others_irrigated
Almonds, with shell, rainfed;others_rainfed
Anise, badian, fennel, coriander, irrigated;others_irrigated
Anise, badian, fennel, coriander, rainfed;others_rainfed
Apples, irrigated;others_irrigated
Apples, rainfed;others_rainfed
Apricots, irrigated;others_irrigated
Apricots, rainfed;others_rainfed
Areca nuts, irrigated;others_irrigated
Areca nuts, rainfed;others_rainfed
Artichokes, irrigated;others_irrigated
Artichokes, rainfed;others_rainfed
Asparagus, irrigated;others_irrigated
Asparagus, rainfed;others_rainfed
Avocados, irrigated;others_irrigated
Avocados, rainfed;others_rainfed
Bambara beans, irrigated;puls_pro_irrigated
Bambara beans, rainfed;puls_pro_rainfed
Bananas, irrigated;cassav_sp_irrigated
Bananas, rainfed;cassav_sp_rainfed
Barley, irrigated;tece_irrigated
Barley, rainfed;tece_rainfed
Beans, dry, irrigated;puls_pro_irrigated
Beans, dry, rainfed;puls_pro_rainfed
Beans, green, irrigated;others_irrigated
Beans, green, rainfed;others_rainfed
beetfor, irrigated;foddr_irrigated
beetfor, rainfed;foddr_rainfed
Berries nes, irrigated;others_irrigated
Berries nes, rainfed;others_rainfed
Blueberries, irrigated;others_irrigated
Blueberries, rainfed;others_rainfed
Brazil nuts, with shell, irrigated;others_irrigated
Brazil nuts, with shell, rainfed;others_rainfed
Broad beans, horse beans, dry, irrigated;puls_pro_irrigated
Broad beans, horse beans, dry, rainfed;puls_pro_rainfed
Buckwheat, irrigated;tece_irrigated
Buckwheat, rainfed;tece_rainfed
cabbagefor, irrigated;foddr_irrigated
cabbagefor, rainfed;foddr_rainfed
Cabbages and other brassicas, irrigated;others_irrigated
Cabbages and other brassicas, rainfed;others_rainfed
Canary seed, irrigated;tece_irrigated
Canary seed, rainfed;tece_rainfed
Carobs, irrigated;others_irrigated
Carobs, rainfed;others_rainfed
carrotfor, irrigated;foddr_irrigated
carrotfor, rainfed;foddr_rainfed
Carrots and turnips, irrigated;others_irrigated
Carrots and turnips, rainfed;others_rainfed
Cashew nuts, with shell, irrigated;others_irrigated
Cashew nuts, with shell, rainfed;others_rainfed
Cashewapple, irrigated;others_irrigated
Cashewapple, rainfed;others_rainfed
Cassava, irrigated;cassav_sp_irrigated
Cassava, rainfed;cassav_sp_rainfed
Castor oil seed, irrigated;rapeseed_irrigated
Castor oil seed, rainfed;rapeseed_rainfed
Cauliflowers and broccoli, irrigated;others_irrigated
Cauliflowers and broccoli, rainfed;others_rainfed
Cereals nes, irrigated;tece_irrigated
Cereals nes, rainfed;tece_rainfed
Cherries, irrigated;others_irrigated
Cherries, rainfed;others_rainfed
Cherries, sour, irrigated;others_irrigated
Cherries, sour, rainfed;others_rainfed
Chestnut, irrigated;others_irrigated
Chestnut, rainfed;others_rainfed
Chick peas, irrigated;puls_pro_irrigated
Chick peas, rainfed;puls_pro_rainfed
Chicory roots, irrigated;others_irrigated
Chicory roots, rainfed;others_rainfed
Chillies and peppers, dry, irrigated;others_irrigated
Chillies and peppers, dry, rainfed;others_rainfed
Chillies and peppers, green, irrigated;others_irrigated
Chillies and peppers, green, rainfed;others_rainfed
Cinnamon (cannella), irrigated;others_irrigated
Cinnamon (cannella), rainfed;others_rainfed
clover, irrigated;foddr_irrigated
clover, rainfed;foddr_rainfed
Cloves, irrigated;others_irrigated
Cloves, rainfed;others_rainfed
Cocoa, beans, irrigated;others_irrigated
Cocoa, beans, rainfed;others_rainfed
Coconuts, irrigated;rapeseed_irrigated
Coconuts, rainfed;rapeseed_rainfed
Coffee, green, irrigated;others_irrigated
Coffee, green, rainfed;others_rainfed
Cow peas, dry, irrigated;puls_pro_irrigated
Cow peas, dry, rainfed;puls_pro_rainfed
Cranberries, irrigated;others_irrigated
Cranberries, rainfed;others_rainfed
Cucumbers and gherkins, irrigated;others_irrigated
Cucumbers and gherkins, rainfed;others_rainfed
Currants, irrigated;others_irrigated
Currants, rainfed;others_rainfed
Dates, irrigated;others_irrigated
Dates, rainfed;others_rainfed
Eggplants (aubergines), irrigated;others_irrigated
Eggplants (aubergines), rainfed;others_rainfed
Figs, irrigated;others_irrigated
Figs, rainfed;others_rainfed
Fonio, irrigated;trce_irrigated
Fonio, rainfed;trce_rainfed
fornes, irrigated;foddr_irrigated
fornes, rainfed;foddr_rainfed
Fruit, citrus nes, irrigated;others_irrigated
Fruit, citrus nes, rainfed;others_rainfed
Fruit, fresh nes, irrigated;others_irrigated
Fruit, fresh nes, rainfed;others_rainfed
Fruit, pome nes, irrigated;others_irrigated
Fruit, pome nes, rainfed;others_rainfed
Fruit, stone nes, irrigated;others_irrigated
Fruit, stone nes, rainfed;others_rainfed
Fruit, tropical fresh nes, irrigated;others_irrigated
Fruit, tropical fresh nes, rainfed;others_rainfed
Garlic, irrigated;others_irrigated
Garlic, rainfed;others_rainfed
Ginger, irrigated;others_irrigated
Ginger, rainfed;others_rainfed
Gooseberries, irrigated;others_irrigated
Gooseberries, rainfed;others_rainfed
Grain, mixed, irrigated;tece_irrigated
Grain, mixed, rainfed;tece_rainfed
Grapefruit (incl pomelos), irrigated;others_irrigated
Grapefruit (incl pomelos), rainfed;others_rainfed
Grapes, irrigated;others_irrigated
Grapes, rainfed;others_rainfed
grassnes, irrigated;foddr_irrigated
grassnes, rainfed;foddr_rainfed
Groundnuts, with shell, irrigated;groundnut_irrigated
Groundnuts, with shell, rainfed;groundnut_rainfed
Hazelnuts, with shell, irrigated;others_irrigated
Hazelnuts, with shell, rainfed;others_rainfed
Hempseed, irrigated;rapeseed_irrigated
Hempseed, rainfed;rapeseed_rainfed
Hops, irrigated;others_irrigated
Hops, rainfed;others_rainfed
Jojoba seed, irrigated;rapeseed_irrigated
Jojoba seed, rainfed;rapeseed_rainfed
Kapok fruit, irrigated;rapeseed_irrigated
Kapok fruit, rainfed;rapeseed_rainfed
Karite nuts (sheanuts), irrigated;rapeseed_irrigated
Karite nuts (sheanuts), rainfed;rapeseed_rainfed
Kiwi fruit, irrigated;others_irrigated
Kiwi fruit, rainfed;others_rainfed
Kola nuts, irrigated;others_irrigated
Kola nuts, rainfed;others_rainfed
Leeks, other alliaceous vegetables, irrigated;others_irrigated
Leeks, other alliaceous vegetables, rainfed;others_rainfed
legumenes, irrigated;foddr_irrigated
legumenes, rainfed;foddr_rainfed
Lemons and limes, irrigated;others_irrigated
Lemons and limes, rainfed;others_rainfed
Lentils, irrigated;puls_pro_irrigated
Lentils, rainfed;puls_pro_rainfed
Lettuce and chicory, irrigated;others_irrigated
Lettuce and chicory, rainfed;others_rainfed
Linseed, irrigated;rapeseed_irrigated
Linseed, rainfed;rapeseed_rainfed
Lupins, irrigated;puls_pro_irrigated
Lupins, rainfed;puls_pro_rainfed
Maize, irrigated;maiz_irrigated
Maize, rainfed;maiz_rainfed
Maize, green, irrigated;others_irrigated
Maize, green, rainfed;others_rainfed
maizefor, irrigated;foddr_irrigated
maizefor, rainfed;foddr_rainfed
Mangoes, mangosteens, guavas, irrigated;others_irrigated
Mangoes, mangosteens, guavas, rainfed;others_rainfed
Mate, irrigated;others_irrigated
Mate, rainfed;others_rainfed
Melons, other (incl cantaloupes), irrigated;others_irrigated
Melons, other (incl cantaloupes), rainfed;others_rainfed
Melonseed, irrigated;rapeseed_irrigated
Melonseed, rainfed;rapeseed_rainfed
Millet, irrigated;trce_irrigated
Millet, rainfed;trce_rainfed
mixedgrass, irrigated;foddr_irrigated
mixedgrass, rainfed;foddr_rainfed
Mushrooms and truffles, irrigated;others_irrigated
Mushrooms and truffles, rainfed;others_rainfed
Mustard seed, irrigated;rapeseed_irrigated
Mustard seed, rainfed;rapeseed_rainfed
Nutmeg, mace and cardamoms, irrigated;others_irrigated
Nutmeg, mace and cardamoms, rainfed;others_rainfed
Nuts nes, irrigated;others_irrigated
Nuts nes, rainfed;others_rainfed
Oats, irrigated;tece_irrigated
Oats, rainfed;tece_rainfed
Oil palm fruit, irrigated;oilpalm_irrigated
Oil palm fruit, rainfed;oilpalm_rainfed
oilseedfor, irrigated;foddr_irrigated
oilseedfor, rainfed;foddr_rainfed
Oilseeds nes, irrigated;rapeseed_irrigated
Oilseeds nes, rainfed;rapeseed_rainfed
Okra, irrigated;others_irrigated
Okra, rainfed;others_rainfed
